date,PRC,sprtrn
20091030,120.61000,-0.028065
20091102,120.56000,0.006456
20091103,121.16000,0.002426
20091104,121.29000,0.001043
20091105,123.10000,0.019236
20091106,123.49000,0.002503
20091109,126.00000,0.022239
20091110,126.91000,-0.000064
20091111,127.19000,0.005032
20091112,126.26000,-0.010259
20091113,127.03000,0.005739
20091116,128.21001,0.014468
20091117,128.63000,0.000919
20091118,128.14999,-0.000468
20091119,127.54000,-0.013426
20091120,126.96000,-0.003215
20091123,128.20000,0.013616
20091124,127.93000,-0.000533
20091125,127.28000,0.004504
20091127,125.70000,-0.017233
20091130,126.35000,0.003793
20091201,127.94000,0.012075
20091202,127.21000,0.000343
20091203,127.55000,-0.008402
20091204,127.25000,0.005509
20091207,127.04000,-0.002468
20091208,126.80000,-0.010252
20091209,128.39000,0.003672
20091210,129.34000,0.005840
20091211,129.67999,0.003683
20091214,129.92999,0.006959
20091215,128.49001,-0.005547
20091216,128.71001,0.001128
20091217,127.40000,-0.011811
20091218,127.91000,0.005830
20091221,128.64999,0.010504
20091222,129.92999,0.003564
20091223,130.00000,0.002299
20091224,130.57001,0.005256
20091228,132.31000,0.001154
20091229,131.85001,-0.001401
20091230,132.57001,0.000195
20091231,130.89999,-0.010050
20100104,132.45000,0.016043
20100105,130.85001,0.003116
20100106,130.00000,0.000546
20100107,129.55000,0.004001
20100108,130.85001,0.002882
20100111,129.48000,0.001747
20100112,130.50999,-0.009381
20100113,130.23000,0.008326
20100114,132.31000,0.002427
20100115,131.78000,-0.010823
20100119,134.14000,0.012500
20100120,130.25000,-0.010598
20100121,129.00000,-0.018945
20100122,125.50000,-0.022141
20100125,126.12000,0.004598
20100126,125.75000,-0.004203
20100127,126.33000,0.004880
20100128,123.75000,-0.011818
20100129,122.39000,-0.009829
20100201,124.67000,0.014266
20100202,125.53000,0.012973
20100203,125.66000,-0.005474
20100204,123.00000,-0.031141
20100205,123.52000,0.002897
20100208,121.88000,-0.008863
20100209,123.21000,0.013040
20100210,122.81000,-0.002233
20100211,123.73000,0.009680
20100212,124.00000,-0.002745
20100216,125.23000,0.018001
20100217,126.33000,0.004238
20100218,127.81000,0.006585
20100219,127.19000,0.002187
20100222,126.85000,-0.001046
20100223,126.46000,-0.012103
20100224,127.59000,0.009720
20100225,127.07000,-0.002081
20100226,127.16000,0.001405
20100301,128.57001,0.010159
20100302,127.42000,0.002330
20100303,126.88000,0.000429
20100304,126.72000,0.003736
20100305,127.25000,0.014008
20100308,126.41000,-0.000176
20100309,125.55000,0.001713
20100310,125.62000,0.004525
20100311,127.60000,0.004042
20100312,127.94000,-0.000217
20100315,127.83000,0.000452
20100316,128.67000,0.007779
20100317,127.76000,0.005822
20100318,128.38000,-0.000326
20100319,127.71000,-0.005087
20100322,127.98000,0.005095
20100323,129.37000,0.007171
20100324,128.53000,-0.005493
20100325,129.24001,-0.001704
20100326,129.25999,0.000738
20100329,128.59000,0.005683
20100330,128.77000,0.000043
20100331,128.25000,-0.003273
20100401,128.25000,0.007414
20100405,129.35001,0.007928
20100406,128.92999,0.001684
20100407,128.48000,-0.005877
20100408,127.61000,0.003374
20100409,128.75999,0.006684
20100412,128.36000,0.001767
20100413,129.03000,0.000685
20100414,131.25000,0.011150
20100415,130.89000,0.000843
20100416,130.63000,-0.016127
20100419,132.23000,0.004521
20100420,129.69000,0.008058
20100421,128.99001,-0.001019
20100422,129.13000,0.002264
20100423,129.99001,0.007124
20100426,130.73000,-0.004296
20100427,128.82001,-0.023382
20100428,130.10001,0.006463
20100429,130.46001,0.012943
20100430,129.00000,-0.016648
