PERMNO,date,TICKER,PRC,vwretd,ewretd
18542,20070315,CAT,63.46000,0.004782,0.006076
18542,20070316,CAT,63.16000,-0.003609,-0.003144
18542,20070319,CAT,64.17000,0.011054,0.007394
18542,20070320,CAT,64.86000,0.006793,0.005634
18542,20070321,CAT,66.21000,0.016756,0.012048
18542,20070322,CAT,66.54000,-0.000143,0.002375
18542,20070323,CAT,66.88000,0.001714,0.002268
18542,20070326,CAT,66.84000,0.000552,0.000050
18542,20070327,CAT,66.88000,-0.005695,-0.004883
18542,20070328,CAT,66.24000,-0.006998,-0.004442
18542,20070329,CAT,66.19000,0.003515,0.001980
18542,20070330,CAT,67.03000,-0.000367,0.002461
18542,20070402,CAT,66.75000,0.003037,0.002025
18542,20070403,CAT,67.24000,0.008917,0.006778
18542,20070404,CAT,67.48000,0.001485,0.001204
18542,20070405,CAT,67.63000,0.003624,0.003187
18542,20070409,CAT,67.34000,0.000583,0.000858
18542,20070410,CAT,66.95000,0.002689,0.002476
18542,20070411,CAT,66.35000,-0.005862,-0.004224
18542,20070412,CAT,66.64000,0.006381,0.005780
18542,20070413,CAT,66.79000,0.003734,0.005191
18542,20070416,CAT,66.90000,0.010486,0.009227
18542,20070417,CAT,67.66000,0.001029,-0.000892
18542,20070418,CAT,69.37000,0.000312,-0.000862
18542,20070419,CAT,68.62000,-0.002797,-0.004174
18542,20070420,CAT,71.82000,0.009333,0.007880
18542,20070423,CAT,71.85000,-0.001733,-0.000693
18542,20070424,CAT,72.81000,-0.000736,-0.001111
18542,20070425,CAT,73.23000,0.009473,0.005081
18542,20070426,CAT,73.00000,-0.000593,-0.000090
18542,20070427,CAT,73.76000,-0.000791,-0.001686
18542,20070430,CAT,72.62000,-0.009289,-0.008639
18542,20070501,CAT,73.24000,0.001747,-0.000804
18542,20070502,CAT,73.40000,0.008284,0.009140
18542,20070503,CAT,73.36000,0.003889,0.001993
18542,20070504,CAT,73.10000,0.002886,0.002650
18542,20070507,CAT,72.67000,0.002603,0.000893
18542,20070508,CAT,73.43000,-0.001402,-0.002055
18542,20070509,CAT,74.75000,0.003684,0.003003
18542,20070510,CAT,73.81000,-0.013743,-0.013007
18542,20070511,CAT,74.88000,0.010357,0.008263
18542,20070514,CAT,76.30000,-0.002699,-0.004631
18542,20070515,CAT,76.01000,-0.001858,-0.006056
18542,20070516,CAT,75.95000,0.007333,0.002548
18542,20070517,CAT,74.84000,-0.000504,-0.002035
18542,20070518,CAT,74.77000,0.006785,0.005646
18542,20070521,CAT,74.85000,0.003243,0.005990
18542,20070522,CAT,75.51000,0.000937,0.004045
18542,20070523,CAT,76.03000,-0.000938,-0.000894
18542,20070524,CAT,75.43000,-0.011321,-0.011304
18542,20070525,CAT,75.71000,0.006378,0.006418
