PERMNO,date,TICKER,PERMCO,PRC,RET,CFACSHR,RETX,sprtrn
12490,20120524,IBM,20990,196.09000,-0.000153,1,-0.000153,0.001380
12490,20120525,IBM,20990,194.30000,-0.009128,1,-0.009128,-0.002166
12490,20120529,IBM,20990,196.46001,0.011117,1,0.011117,0.011079
12490,20120530,IBM,20990,194.53000,-0.009824,1,-0.009824,-0.014335
12490,20120531,IBM,20990,192.89999,-0.008379,1,-0.008379,-0.002277
12490,20120601,IBM,20990,189.08000,-0.019803,1,-0.019803,-0.024643
12490,20120604,IBM,20990,188.53999,-0.002856,1,-0.002856,0.000110
12490,20120605,IBM,20990,189.20000,0.003501,1,0.003501,0.005727
12490,20120606,IBM,20990,193.99001,0.025317,1,0.025317,0.023049
12490,20120607,IBM,20990,194.44000,0.002320,1,0.002320,-0.000106
12490,20120608,IBM,20990,195.14000,0.003600,1,0.003600,0.008114
12490,20120611,IBM,20990,192.50999,-0.013478,1,-0.013478,-0.012620
12490,20120612,IBM,20990,194.55000,0.010597,1,0.010597,0.011651
12490,20120613,IBM,20990,193.10001,-0.007453,1,-0.007453,-0.007023
12490,20120614,IBM,20990,195.10001,0.010357,1,0.010357,0.010815
12490,20120615,IBM,20990,199.10001,0.020502,1,0.020502,0.010338
12490,20120618,IBM,20990,198.28999,-0.004068,1,-0.004068,0.001445
12490,20120619,IBM,20990,198.92999,0.003228,1,0.003228,0.009816
12490,20120620,IBM,20990,198.78000,-0.000754,1,-0.000754,-0.001686
12490,20120621,IBM,20990,193.39000,-0.027115,1,-0.027115,-0.022262
12490,20120622,IBM,20990,193.70000,0.001603,1,0.001603,0.007175
12490,20120625,IBM,20990,192.86000,-0.004337,1,-0.004337,-0.015955
12490,20120626,IBM,20990,191.95000,-0.004718,1,-0.004718,0.004773
12490,20120627,IBM,20990,193.00000,0.005470,1,0.005470,0.008985
12490,20120628,IBM,20990,191.39999,-0.008290,1,-0.008290,-0.002110
12490,20120629,IBM,20990,195.58000,0.021839,1,0.021839,0.024920
12490,20120702,IBM,20990,195.83000,0.001278,1,0.001278,0.002459
12490,20120703,IBM,20990,195.92999,0.000511,1,0.000511,0.006232
12490,20120705,IBM,20990,195.28999,-0.003266,1,-0.003266,-0.004687
12490,20120706,IBM,20990,191.41000,-0.019868,1,-0.019868,-0.009433
12490,20120709,IBM,20990,189.67000,-0.009090,1,-0.009090,-0.001639
12490,20120710,IBM,20990,186.25999,-0.017979,1,-0.017979,-0.008126
12490,20120711,IBM,20990,185.25000,-0.005422,1,-0.005422,-0.000015
12490,20120712,IBM,20990,183.09000,-0.011660,1,-0.011660,-0.004987
12490,20120713,IBM,20990,186.00999,0.015948,1,0.015948,0.016497
12490,20120716,IBM,20990,184.78999,-0.006559,1,-0.006559,-0.002314
12490,20120717,IBM,20990,183.64999,-0.006169,1,-0.006169,0.007410
12490,20120718,IBM,20990,188.25000,0.025048,1,0.025048,0.006681
12490,20120719,IBM,20990,195.34000,0.037663,1,0.037663,0.002717
12490,20120720,IBM,20990,192.45000,-0.014795,1,-0.014795,-0.010062
12490,20120723,IBM,20990,190.83000,-0.008418,1,-0.008418,-0.008909
12490,20120724,IBM,20990,190.34000,-0.002568,1,-0.002568,-0.009041
12490,20120725,IBM,20990,191.08000,0.003888,1,0.003888,-0.000314
12490,20120726,IBM,20990,193.95000,0.015020,1,0.015020,0.016541
12490,20120727,IBM,20990,196.39000,0.012581,1,0.012581,0.019081
12490,20120730,IBM,20990,196.67999,0.001477,1,0.001477,-0.000483
12490,20120731,IBM,20990,195.98000,-0.003559,1,-0.003559,-0.004317
12490,20120801,IBM,20990,195.17999,-0.004082,1,-0.004082,-0.003030
12490,20120802,IBM,20990,194.45000,-0.003740,1,-0.003740,-0.007374
12490,20120803,IBM,20990,198.52000,0.020931,1,0.020931,0.019040
12490,20120806,IBM,20990,198.75999,0.001209,1,0.001209,0.002329
12490,20120807,IBM,20990,199.92999,0.005886,1,0.005886,0.005107
12490,20120808,IBM,20990,199.03000,-0.000250,1,-0.004502,0.000621
12490,20120809,IBM,20990,198.42000,-0.003065,1,-0.003065,0.000414
12490,20120810,IBM,20990,199.28999,0.004385,1,0.004385,0.002188
12490,20120813,IBM,20990,199.00999,-0.001405,1,-0.001405,-0.001252
12490,20120814,IBM,20990,198.28999,-0.003618,1,-0.003618,-0.000128
12490,20120815,IBM,20990,198.39999,0.000555,1,0.000555,0.001140
12490,20120816,IBM,20990,200.84000,0.012298,1,0.012298,0.007101
12490,20120817,IBM,20990,201.22000,0.001892,1,0.001892,0.001872
12490,20120820,IBM,20990,200.50000,-0.003578,1,-0.003578,-0.000021
12490,20120821,IBM,20990,198.64999,-0.009227,1,-0.009227,-0.003498
12490,20120822,IBM,20990,197.25000,-0.007048,1,-0.007048,0.000226
12490,20120823,IBM,20990,195.70000,-0.007858,1,-0.007858,-0.008072
12490,20120824,IBM,20990,197.77000,0.010577,1,0.010577,0.006455
12490,20120827,IBM,20990,195.69000,-0.010517,1,-0.010517,-0.000489
12490,20120828,IBM,20990,194.87000,-0.004190,1,-0.004190,-0.000808
12490,20120829,IBM,20990,195.08000,0.001078,1,0.001078,0.000844
12490,20120830,IBM,20990,193.37000,-0.008766,1,-0.008766,-0.007806
12490,20120831,IBM,20990,194.85001,0.007654,1,0.007654,0.005073
12490,20120904,IBM,20990,194.53999,-0.001591,1,-0.001591,-0.001166
12490,20120905,IBM,20990,195.03999,0.002570,1,0.002570,-0.001068
12490,20120906,IBM,20990,199.10001,0.020816,1,0.020816,0.020436
12490,20120907,IBM,20990,199.50000,0.002009,1,0.002009,0.004050
12490,20120910,IBM,20990,200.95000,0.007268,1,0.007268,-0.006148
12490,20120911,IBM,20990,203.27000,0.011545,1,0.011545,0.003135
12490,20120912,IBM,20990,203.77000,0.002460,1,0.002460,0.002093
12490,20120913,IBM,20990,206.36000,0.012710,1,0.012710,0.016310
12490,20120914,IBM,20990,206.81000,0.002181,1,0.002181,0.003959
12490,20120917,IBM,20990,207.14999,0.001644,1,0.001644,-0.003125
12490,20120918,IBM,20990,207.07001,-0.000386,1,-0.000386,-0.001280
12490,20120919,IBM,20990,206.42999,-0.003091,1,-0.003091,0.001185
12490,20120920,IBM,20990,206.17999,-0.001211,1,-0.001211,-0.000541
12490,20120921,IBM,20990,205.98000,-0.000970,1,-0.000970,-0.000075
12490,20120924,IBM,20990,205.28999,-0.003350,1,-0.003350,-0.002233
12490,20120925,IBM,20990,204.98000,-0.001510,1,-0.001510,-0.010502
12490,20120926,IBM,20990,204.00000,-0.004781,1,-0.004781,-0.005737
12490,20120927,IBM,20990,205.91000,0.009363,1,0.009363,0.009649
12490,20120928,IBM,20990,207.45000,0.007479,1,0.007479,-0.004478
12490,20121001,IBM,20990,210.47000,0.014558,1,0.014558,0.002652
12490,20121002,IBM,20990,209.84000,-0.002993,1,-0.002993,0.000872
12490,20121003,IBM,20990,210.50999,0.003193,1,0.003193,0.003624
12490,20121004,IBM,20990,210.39000,-0.000570,1,-0.000570,0.007174
12490,20121005,IBM,20990,210.59000,0.000951,1,0.000951,-0.000322
12490,20121008,IBM,20990,209.82001,-0.003656,1,-0.003656,-0.003457
12490,20121009,IBM,20990,207.99001,-0.008722,1,-0.008722,-0.009891
12490,20121010,IBM,20990,205.82001,-0.010433,1,-0.010433,-0.006188
12490,20121011,IBM,20990,205.75999,-0.000292,1,-0.000292,0.000195
12490,20121012,IBM,20990,207.80000,0.009915,1,0.009915,-0.002966
12490,20121015,IBM,20990,208.92999,0.005438,1,0.005438,0.008078
12490,20121016,IBM,20990,211.00000,0.009908,1,0.009908,0.010270
12490,20121017,IBM,20990,200.63000,-0.049147,1,-0.049147,0.004117
12490,20121018,IBM,20990,194.96001,-0.028261,1,-0.028261,-0.002444
12490,20121019,IBM,20990,193.36000,-0.008207,1,-0.008207,-0.016571
12490,20121022,IBM,20990,194.39999,0.005379,1,0.005379,0.000440
12490,20121023,IBM,20990,191.25000,-0.016204,1,-0.016204,-0.014444
12490,20121024,IBM,20990,190.72000,-0.002771,1,-0.002771,-0.003085
12490,20121025,IBM,20990,191.60001,0.004614,1,0.004614,0.002996
12490,20121026,IBM,20990,193.27000,0.008716,1,0.008716,-0.000729
12490,20121031,IBM,20990,194.53000,0.006519,1,0.006519,0.000156
12490,20121101,IBM,20990,197.14999,0.013468,1,0.013468,0.010927
12490,20121102,IBM,20990,193.42999,-0.018869,1,-0.018869,-0.009379
12490,20121105,IBM,20990,194.14000,0.003671,1,0.003671,0.002164
12490,20121106,IBM,20990,195.07001,0.004790,1,0.004790,0.007853
12490,20121107,IBM,20990,191.16000,-0.015687,1,-0.020044,-0.023705
12490,20121108,IBM,20990,190.10001,-0.005545,1,-0.005545,-0.012205
12490,20121109,IBM,20990,189.64000,-0.002420,1,-0.002420,0.001699
12490,20121112,IBM,20990,189.25000,-0.002057,1,-0.002057,0.000130
12490,20121113,IBM,20990,188.32001,-0.004914,1,-0.004914,-0.003985
12490,20121114,IBM,20990,185.50999,-0.014921,1,-0.014921,-0.013852
12490,20121115,IBM,20990,185.85001,0.001833,1,0.001833,-0.001594
12490,20121116,IBM,20990,186.94000,0.005865,1,0.005865,0.004840
12490,20121119,IBM,20990,190.35001,0.018241,1,0.018241,0.019862
12490,20121120,IBM,20990,189.20000,-0.006042,1,-0.006042,0.000663
12490,20121121,IBM,20990,190.28999,0.005761,1,0.005761,0.002320
12490,20121123,IBM,20990,193.49001,0.016817,1,0.016817,0.013026
12490,20121126,IBM,20990,192.88000,-0.003153,1,-0.003153,-0.002030
12490,20121127,IBM,20990,191.23000,-0.008555,1,-0.008555,-0.005227
12490,20121128,IBM,20990,191.98000,0.003922,1,0.003922,0.007856
12490,20121129,IBM,20990,191.53000,-0.002344,1,-0.002344,0.004270
12490,20121130,IBM,20990,190.07001,-0.007623,1,-0.007623,0.000162
12490,20121203,IBM,20990,189.48000,-0.003104,1,-0.003104,-0.004745
12490,20121204,IBM,20990,189.36000,-0.000633,1,-0.000633,-0.001710
12490,20121205,IBM,20990,188.64999,-0.003750,1,-0.003750,0.001585
12490,20121206,IBM,20990,189.70000,0.005566,1,0.005566,0.003307
12490,20121207,IBM,20990,191.95000,0.011861,1,0.011861,0.002921
12490,20121210,IBM,20990,192.62000,0.003490,1,0.003490,0.000338
12490,20121211,IBM,20990,194.20000,0.008203,1,0.008203,0.006549
12490,20121212,IBM,20990,192.95000,-0.006437,1,-0.006437,0.000448
12490,20121213,IBM,20990,191.99001,-0.004975,1,-0.004975,-0.006321
12490,20121214,IBM,20990,191.75999,-0.001198,1,-0.001198,-0.004135
12490,20121217,IBM,20990,193.62000,0.009700,1,0.009700,0.011871
12490,20121218,IBM,20990,195.69000,0.010691,1,0.010691,0.011487
12490,20121219,IBM,20990,195.08000,-0.003117,1,-0.003117,-0.007589
12490,20121220,IBM,20990,194.77000,-0.001589,1,-0.001589,0.005488
12490,20121221,IBM,20990,193.42000,-0.006931,1,-0.006931,-0.009379
12490,20121224,IBM,20990,192.39999,-0.005274,1,-0.005274,-0.002440
12490,20121226,IBM,20990,191.95000,-0.002339,1,-0.002339,-0.004787
12490,20121227,IBM,20990,192.71001,0.003959,1,0.003959,-0.001218
12490,20121228,IBM,20990,189.83000,-0.014945,1,-0.014945,-0.011050
12490,20121231,IBM,20990,191.55000,0.009061,1,0.009061,0.016942
12490,20130102,IBM,20990,196.35001,0.025059,1,0.025059,0.025403
12490,20130103,IBM,20990,195.27000,-0.005500,1,-0.005500,-0.002086
12490,20130104,IBM,20990,193.99001,-0.006555,1,-0.006555,0.004865
12490,20130107,IBM,20990,193.14000,-0.004382,1,-0.004382,-0.003123
12490,20130108,IBM,20990,192.87000,-0.001398,1,-0.001398,-0.003242
12490,20130109,IBM,20990,192.32001,-0.002852,1,-0.002852,0.002656
12490,20130110,IBM,20990,192.88000,0.002912,1,0.002912,0.007597
12490,20130111,IBM,20990,194.45000,0.008140,1,0.008140,-0.000048
12490,20130114,IBM,20990,192.62000,-0.009411,1,-0.009411,-0.000931
12490,20130115,IBM,20990,192.50000,-0.000623,1,-0.000623,0.001129
12490,20130116,IBM,20990,192.59000,0.000468,1,0.000468,0.000197
12490,20130117,IBM,20990,193.64999,0.005504,1,0.005504,0.005643
12490,20130118,IBM,20990,194.47000,0.004234,1,0.004234,0.003403
12490,20130122,IBM,20990,196.08000,0.008279,1,0.008279,0.004428
12490,20130123,IBM,20990,204.72000,0.044064,1,0.044064,0.001507
12490,20130124,IBM,20990,204.42000,-0.001465,1,-0.001465,0.000007
12490,20130125,IBM,20990,204.97000,0.002691,1,0.002691,0.005445
12490,20130128,IBM,20990,204.92999,-0.000195,1,-0.000195,-0.001850
12490,20130129,IBM,20990,203.89999,-0.005026,1,-0.005026,0.005106
12490,20130130,IBM,20990,203.52000,-0.001864,1,-0.001864,-0.003900
12490,20130131,IBM,20990,203.07001,-0.002211,1,-0.002211,-0.002563
