PERMNO,date,TICKER,COMNAM,PRC
12490,19711231,IBM,INTERNATIONAL BUSINESS MACHS COR,336.50000
12490,19720131,IBM,INTERNATIONAL BUSINESS MACHS COR,368.00000
12490,19720229,IBM,INTERNATIONAL BUSINESS MACHS COR,368.50000
12490,19720330,IBM,INTERNATIONAL BUSINESS MACHS COR,382.25000
12490,19720428,IBM,INTERNATIONAL BUSINESS MACHS COR,386.00000
12490,19720531,IBM,INTERNATIONAL BUSINESS MACHS COR,397.75000
12490,19720630,IBM,INTERNATIONAL BUSINESS MACHS COR,392.00000
12490,19720731,IBM,INTERNATIONAL BUSINESS MACHS COR,400.75000
12490,19720831,IBM,INTERNATIONAL BUSINESS MACHS COR,408.50000
12490,19720929,IBM,INTERNATIONAL BUSINESS MACHS COR,406.50000
12490,19721031,IBM,INTERNATIONAL BUSINESS MACHS COR,385.50000
12490,19721130,IBM,INTERNATIONAL BUSINESS MACHS COR,391.00000
12490,19721229,IBM,INTERNATIONAL BUSINESS MACHS COR,402.00000
12490,19730131,IBM,INTERNATIONAL BUSINESS MACHS COR,435.50000
12490,19730228,IBM,INTERNATIONAL BUSINESS MACHS COR,431.50000
12490,19730330,IBM,INTERNATIONAL BUSINESS MACHS COR,431.50000
12490,19730430,IBM,INTERNATIONAL BUSINESS MACHS COR,408.00000
12490,19730531,IBM,INTERNATIONAL BUSINESS MACHS COR,314.75000
12490,19730629,IBM,INTERNATIONAL BUSINESS MACHS COR,317.00000
12490,19730731,IBM,INTERNATIONAL BUSINESS MACHS COR,314.50000
12490,19730831,IBM,INTERNATIONAL BUSINESS MACHS COR,301.00000
12490,19730928,IBM,INTERNATIONAL BUSINESS MACHS COR,258.00000
12490,19731031,IBM,INTERNATIONAL BUSINESS MACHS COR,280.25000
12490,19731130,IBM,INTERNATIONAL BUSINESS MACHS COR,265.00000
12490,19731231,IBM,INTERNATIONAL BUSINESS MACHS COR,246.75000
12490,19740131,IBM,INTERNATIONAL BUSINESS MACHS COR,245.25000
12490,19740228,IBM,INTERNATIONAL BUSINESS MACHS COR,237.87500
12490,19740329,IBM,INTERNATIONAL BUSINESS MACHS COR,235.75000
12490,19740430,IBM,INTERNATIONAL BUSINESS MACHS COR,227.25000
12490,19740531,IBM,INTERNATIONAL BUSINESS MACHS COR,212.50000
12490,19740628,IBM,INTERNATIONAL BUSINESS MACHS COR,212.75000
12490,19740731,IBM,INTERNATIONAL BUSINESS MACHS COR,201.62500
12490,19740830,IBM,INTERNATIONAL BUSINESS MACHS COR,192.00000
12490,19740930,IBM,INTERNATIONAL BUSINESS MACHS COR,159.00000
12490,19741031,IBM,INTERNATIONAL BUSINESS MACHS COR,189.12500
12490,19741129,IBM,INTERNATIONAL BUSINESS MACHS COR,177.25000
12490,19741231,IBM,INTERNATIONAL BUSINESS MACHS COR,168.00000
12490,19750131,IBM,INTERNATIONAL BUSINESS MACHS COR,188.25000
12490,19750228,IBM,INTERNATIONAL BUSINESS MACHS COR,215.50000
12490,19750331,IBM,INTERNATIONAL BUSINESS MACHS COR,206.62500
12490,19750430,IBM,INTERNATIONAL BUSINESS MACHS COR,209.87500
12490,19750530,IBM,INTERNATIONAL BUSINESS MACHS COR,215.00000
12490,19750630,IBM,INTERNATIONAL BUSINESS MACHS COR,209.00000
